"ISCO08","GEO","UNIT","DURATION","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Medical doctors","Belgium","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 15 to 24 years",":",""
"Medical doctors","Belgium","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 25 to 34 years",":",""
"Medical doctors","Belgium","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 35 to 44 years",":",""
"Medical doctors","Belgium","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 45 to 64 years",":",""
"Medical doctors","Belgium","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Medical doctors","Belgium","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 15 to 24 years",":",""
"Medical doctors","Belgium","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 25 to 34 years",":",""
"Medical doctors","Belgium","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 35 to 44 years",":",""
"Medical doctors","Belgium","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 45 to 64 years",":",""
"Medical doctors","Belgium","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
"Medical doctors","Belgium","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 15 to 24 years",":",""
"Medical doctors","Belgium","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 25 to 34 years",":",""
"Medical doctors","Belgium","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 35 to 44 years",":",""
"Medical doctors","Belgium","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 45 to 64 years",":",""
"Medical doctors","Belgium","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Medical doctors","Belgium","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 15 to 24 years",":",""
"Medical doctors","Belgium","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 25 to 34 years",":",""
"Medical doctors","Belgium","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 35 to 44 years",":",""
"Medical doctors","Belgium","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 45 to 64 years",":",""
"Medical doctors","Belgium","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
"Medical doctors","Belgium","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","67.3",""
"Medical doctors","Belgium","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","68.0",""
"Medical doctors","Belgium","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","77.9",""
"Medical doctors","Belgium","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","84.1",""
"Medical doctors","Belgium","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","65 years or over","94.0",""
"Medical doctors","Belgium","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","77.8",""
"Medical doctors","Belgium","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","85.6",""
"Medical doctors","Belgium","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","86.7",""
"Medical doctors","Belgium","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","89.3",""
"Medical doctors","Belgium","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","65 years or over","95.0",""
"Medical doctors","Belgium","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","31.8",""
"Medical doctors","Belgium","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","30.6",""
"Medical doctors","Belgium","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","21.7",""
"Medical doctors","Belgium","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","15.6",""
"Medical doctors","Belgium","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","65 years or over","5.9",""
"Medical doctors","Belgium","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","22.2",""
"Medical doctors","Belgium","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","13.8",""
"Medical doctors","Belgium","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","12.8",""
"Medical doctors","Belgium","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","10.5",""
"Medical doctors","Belgium","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","65 years or over","4.9",""
"Medical doctors","Belgium","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","1.0",""
"Medical doctors","Belgium","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.4",""
"Medical doctors","Belgium","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.4",""
"Medical doctors","Belgium","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.3",""
"Medical doctors","Belgium","Percentage","Never","2014","All ISCED 2011 levels ","Males","65 years or over","0.0",""
"Medical doctors","Belgium","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Medical doctors","Belgium","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.7",""
"Medical doctors","Belgium","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.5",""
"Medical doctors","Belgium","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.3",""
"Medical doctors","Belgium","Percentage","Never","2014","All ISCED 2011 levels ","Females","65 years or over","0.1",""
"Medical doctors","Bulgaria","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 15 to 24 years",":",""
"Medical doctors","Bulgaria","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 25 to 34 years",":",""
"Medical doctors","Bulgaria","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 35 to 44 years",":",""
"Medical doctors","Bulgaria","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 45 to 64 years",":",""
"Medical doctors","Bulgaria","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Medical doctors","Bulgaria","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 15 to 24 years",":",""
"Medical doctors","Bulgaria","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 25 to 34 years",":",""
"Medical doctors","Bulgaria","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 35 to 44 years",":",""
"Medical doctors","Bulgaria","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 45 to 64 years",":",""
"Medical doctors","Bulgaria","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
"Medical doctors","Bulgaria","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 15 to 24 years",":",""
"Medical doctors","Bulgaria","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 25 to 34 years",":",""
"Medical doctors","Bulgaria","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 35 to 44 years",":",""
"Medical doctors","Bulgaria","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 45 to 64 years",":",""
"Medical doctors","Bulgaria","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Medical doctors","Bulgaria","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 15 to 24 years",":",""
"Medical doctors","Bulgaria","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 25 to 34 years",":",""
"Medical doctors","Bulgaria","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 35 to 44 years",":",""
"Medical doctors","Bulgaria","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 45 to 64 years",":",""
"Medical doctors","Bulgaria","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
