"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","11.9",""
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","2.4",""
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.3",""
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.4",""
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.6",""
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","13.2",""
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","7.7",""
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","2.5",""
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","2.4",""
"Underweight","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","2.7",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","2.5",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.7",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.6",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.3",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.7",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","15.2",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","7.9",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.6",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.5",""
"Underweight","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.5",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","4.5",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.2",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.2",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.5",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","5.1",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","4.6",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.2",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.8",""
"Underweight","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.4",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","8.2",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.4",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.6",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.2",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.3",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","11.3",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","4.3",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.4",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","2.4",""
"Underweight","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","4.1",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","7.2",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.1",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.1",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.2",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.5",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","11.8",""
