"N_PORTION","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","25.4",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","26.3",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","19.7",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","18.3",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","11.8",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","25.2",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","20.1",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","11.8",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","9.5",""
"0 portions","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","9.6",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","60.5",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","67.7",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","58.0",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","61.9",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","58.7",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","56.0",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","53.3",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","56.5",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","54.8",""
"0 portions","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","59.3",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","60.6",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","58.0",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","54.8",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","53.8",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","55.5",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","38.2",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","31.5",""
