"LEVELS","GEO","SEX","AGE","ISCED11","TIME","UNIT","Value","Flag and Footnotes"
"Mild","Bulgaria","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","2.2",""
"Mild","Bulgaria","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","4.6",""
"Mild","Bulgaria","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","6.2",""
"Mild","Bulgaria","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","9.7",""
"Mild","Bulgaria","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","16.1",""
"Mild","Bulgaria","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","5.8",""
"Mild","Bulgaria","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","4.7",""
"Mild","Bulgaria","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","10.0",""
"Mild","Bulgaria","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","14.0",""
"Mild","Bulgaria","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","22.2",""
"Mild","Czechia","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","3.8",""
"Mild","Czechia","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","5.8",""
"Mild","Czechia","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","3.7",""
"Mild","Czechia","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","5.9",""
"Mild","Czechia","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","12.6",""
"Mild","Czechia","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","3.7",""
"Mild","Czechia","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","4.4",""
"Mild","Czechia","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","7.8",""
"Mild","Czechia","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","9.5",""
"Mild","Czechia","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","16.4",""
"Mild","Denmark","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","18.9",""
"Mild","Denmark","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","13.0",""
"Mild","Denmark","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","19.5",""
"Mild","Denmark","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","14.2",""
"Mild","Denmark","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","9.7",""
"Mild","Denmark","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","25.3",""
"Mild","Denmark","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","19.6",""
"Mild","Denmark","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","19.6",""
"Mild","Denmark","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","17.1",""
"Mild","Denmark","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","12.6",""
"Mild","Germany (until 1990 former territory of the FRG)","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","25.1",""
"Mild","Germany (until 1990 former territory of the FRG)","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","21.7",""
"Mild","Germany (until 1990 former territory of the FRG)","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","19.0",""
"Mild","Germany (until 1990 former territory of the FRG)","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","21.0",""
"Mild","Germany (until 1990 former territory of the FRG)","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","16.3",""
"Mild","Germany (until 1990 former territory of the FRG)","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","29.5",""
"Mild","Germany (until 1990 former territory of the FRG)","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","27.5",""
"Mild","Germany (until 1990 former territory of the FRG)","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","24.1",""
"Mild","Germany (until 1990 former territory of the FRG)","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","25.0",""
"Mild","Germany (until 1990 former territory of the FRG)","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","20.5",""
"Mild","Estonia","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","14.4",""
"Mild","Estonia","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","12.8",""
"Mild","Estonia","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","9.6",""
"Mild","Estonia","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","17.8",""
"Mild","Estonia","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","21.7",""
"Mild","Estonia","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","20.2",""
"Mild","Estonia","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","18.7",""
"Mild","Estonia","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","16.6",""
"Mild","Estonia","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","20.8",""
"Mild","Estonia","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","28.7",""
"Mild","Ireland","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","16.9",""
