"DURATION","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Zero minutes","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","19.7",""
"Zero minutes","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","37",""
"Zero minutes","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","31.2",""
"Zero minutes","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","46",""
"Zero minutes","Belgium","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Zero minutes","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","23.6",""
"Zero minutes","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","30.1",""
"Zero minutes","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","43.1",""
"Zero minutes","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","42.8",""
"Zero minutes","Belgium","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
"Zero minutes","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","47.2",""
"Zero minutes","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","63.0",""
"Zero minutes","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","70.1",""
"Zero minutes","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","83.5",""
"Zero minutes","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","90.6",""
"Zero minutes","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","61.3",""
"Zero minutes","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","80.5",""
"Zero minutes","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","87.5",""
"Zero minutes","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","94.3",""
"Zero minutes","Bulgaria","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","98.4",""
