"HLTH_PB","GEO","UNIT","LEV_LIMIT","ISCED11","TIME","SEX","AGE","Value","Flag and Footnotes"
"Total","Bulgaria","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","3.9",""
"Total","Bulgaria","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","8.0",""
"Total","Bulgaria","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","12.0",""
"Total","Bulgaria","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","33.5",""
"Total","Bulgaria","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","47.2",""
"Total","Bulgaria","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","5.6",""
"Total","Bulgaria","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","8.3",""
"Total","Bulgaria","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","16.2",""
"Total","Bulgaria","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","37.4",""
"Total","Bulgaria","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","45.6",""
"Total","Bulgaria","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","6.1",""
"Total","Bulgaria","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","9.0",""
"Total","Bulgaria","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","12.7",""
"Total","Bulgaria","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","41.3",""
"Total","Bulgaria","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","81.6",""
"Total","Bulgaria","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","5.6",""
"Total","Bulgaria","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","9.3",""
"Total","Bulgaria","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","18.4",""
"Total","Bulgaria","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","48.0",""
"Total","Bulgaria","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","83.8",""
"Total","Bulgaria","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","2.2",""
"Total","Bulgaria","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.0",""
"Total","Bulgaria","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","0.7",""
"Total","Bulgaria","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","7.8",""
"Total","Bulgaria","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","34.4",""
"Total","Bulgaria","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","0",""
"Total","Bulgaria","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.0",""
"Total","Bulgaria","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","2.1",""
"Total","Bulgaria","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","10.6",""
"Total","Bulgaria","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","38.2",""
"Total","Bulgaria","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","93.9",""
"Total","Bulgaria","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","91.0",""
"Total","Bulgaria","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","87.3",""
"Total","Bulgaria","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","58.7",""
"Total","Bulgaria","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","18.4",""
"Total","Bulgaria","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","94.4",""
"Total","Bulgaria","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","90.7",""
"Total","Bulgaria","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","81.6",""
"Total","Bulgaria","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","52.0",""
"Total","Bulgaria","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","16.2",""
"Total","Czechia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","10.8",""
"Total","Czechia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.2",""
"Total","Czechia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","16.2",""
"Total","Czechia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","32.5",""
"Total","Czechia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","48.7",""
"Total","Czechia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","13.6",""
"Total","Czechia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","12.4",""
"Total","Czechia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","17.1",""
"Total","Czechia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","34.5",""
"Total","Czechia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","48.1",""
"Total","Czechia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","11.5",""
"Total","Czechia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.8",""
"Total","Czechia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","18.3",""
"Total","Czechia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","38.9",""
"Total","Czechia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","74.9",""
"Total","Czechia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","14.8",""
"Total","Czechia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","13.1",""
"Total","Czechia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","17.8",""
"Total","Czechia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","41.7",""
"Total","Czechia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","77.8",""
"Total","Czechia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","0.7",""
"Total","Czechia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","0.7",""
"Total","Czechia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.1",""
"Total","Czechia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","6.4",""
"Total","Czechia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","26.2",""
"Total","Czechia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.2",""
"Total","Czechia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","0.8",""
"Total","Czechia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","0.7",""
"Total","Czechia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","7.1",""
"Total","Czechia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","29.7",""
"Total","Czechia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","88.5",""
"Total","Czechia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","89.2",""
"Total","Czechia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","81.7",""
"Total","Czechia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","61.1",""
"Total","Czechia","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","25.1",""
"Total","Czechia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","85.2",""
