"LEVELS","GEO","UNIT","ISCED11","TIME","SEX","AGE","Value","Flag and Footnotes"
"Moderate","Belgium","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","7.4",""
"Moderate","Belgium","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","9.8",""
"Moderate","Belgium","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","13.2",""
"Moderate","Belgium","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","12.7",""
"Moderate","Belgium","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","18.6",""
"Moderate","Belgium","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","7.9",""
"Moderate","Belgium","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","13.0",""
"Moderate","Belgium","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","18.1",""
"Moderate","Belgium","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","19.0",""
"Moderate","Belgium","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","22.7",""
"Moderate","Bulgaria","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.3",""
"Moderate","Bulgaria","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","2.3",""
"Moderate","Bulgaria","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","4.7",""
"Moderate","Bulgaria","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","12.3",""
"Moderate","Bulgaria","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","27.4",""
"Moderate","Bulgaria","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","4.8",""
"Moderate","Bulgaria","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","4.7",""
"Moderate","Bulgaria","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","6.0",""
"Moderate","Bulgaria","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","15.1",""
"Moderate","Bulgaria","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","29.7",""
"Moderate","Czechia","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","6.6",""
"Moderate","Czechia","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","6.4",""
"Moderate","Czechia","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","7.2",""
"Moderate","Czechia","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","14.7",""
"Moderate","Czechia","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","21.2",""
"Moderate","Czechia","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","3.3",""
"Moderate","Czechia","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","5.3",""
"Moderate","Czechia","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","10.9",""
"Moderate","Czechia","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","14.9",""
"Moderate","Czechia","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","26.7",""
"Moderate","Denmark","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","8.5",""
"Moderate","Denmark","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","12.3",""
"Moderate","Denmark","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","11.1",""
"Moderate","Denmark","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","19.1",""
"Moderate","Denmark","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","17.6",""
"Moderate","Denmark","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","16.1",""
"Moderate","Denmark","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","13.6",""
"Moderate","Denmark","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","15.6",""
"Moderate","Denmark","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","17.0",""
"Moderate","Denmark","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","23.2",""
"Moderate","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","7.0",""
"Moderate","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.0",""
"Moderate","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","13.0",""
"Moderate","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","19.2",""
"Moderate","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","22.1",""
"Moderate","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","16.8",""
"Moderate","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","18.1",""
"Moderate","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","19.5",""
"Moderate","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","23.6",""
"Moderate","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","28.2",""
"Moderate","Estonia","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","13.2",""
"Moderate","Estonia","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","13.3",""
"Moderate","Estonia","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","14.8",""
"Moderate","Estonia","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","17.8",""
"Moderate","Estonia","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","23.1",""
"Moderate","Estonia","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","20.0",""
"Moderate","Estonia","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","16.5",""
"Moderate","Estonia","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","16.3",""
"Moderate","Estonia","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","21.4",""
