"SMOKING","GEO","UNIT","ISCED11","SEX","AGE","TIME","Value","Flag and Footnotes"
"Non-smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","78.9","u"
"Non-smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","66.7","u"
"Non-smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","67.1","u"
"Non-smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","72.3","u"
"Non-smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","84.8","u"
"Non-smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","77.5","u"
"Non-smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","80.2","u"
"Non-smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","75.6","u"
"Non-smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","74.8","u"
"Non-smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","92.2","u"
"Non-smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","66.3",""
"Non-smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","45.8",""
"Non-smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","44.4",""
"Non-smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","50.1",""
"Non-smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","82.3",""
"Non-smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","75.4",""
"Non-smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","60.2",""
"Non-smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","53.5",""
"Non-smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","71.1",""
"Non-smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","94.9",""
"Non-smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","62.6",""
"Non-smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","57.3",""
"Non-smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","63.3",""
"Non-smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","64.3",""
"Non-smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","76.5",""
"Non-smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","80.3",""
"Non-smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","72.2",""
