"GEO","SEX","AGE","BMI_Overweight","Physical_activity","DailyFyV_Less.5.portions.","DailyFyV_5.portions.or.more","smoking_Occasional.smoker","smoking_Daily.smoker","Frequent_drink_pct","social_support_Poor","social_support_Intermediate","Chron_ill_pct","Health_Expend_._GDP","non_presc_med_use_pct","SPHpos","SPH_pctg"
"Belgium","Males","From 15 to 24 years",18.7,25.2,64.6,10,5.7,15.4,50.1,11.5,49.2,9.2,10.44,13.4,"1",94.8
"Belgium","Males","From 25 to 34 years",41,11.5,65.5,8.2,7.1,26.2,45.3,14.7,51.5,12.4,10.44,17.2,"1",89.4
"Belgium","Males","From 35 to 44 years",54.1,7.7,69.3,11,6,26.9,43.1,17.7,52.4,18.4,10.44,18.1,"1",83.8
"Belgium","Males","From 45 to 64 years",65.8,5.5,70.1,11.6,3.9,23.8,37.7,20.4,50,28,10.44,17,"1",74.5
"Belgium","Males","65 years or over",65.6,42,76,12.2,2.3,12.9,20.1,19.1,51.5,38.2,10.44,16.2,"0",53.3
"Belgium","Females","From 15 to 24 years",15.6,16.3,68.4,6.5,3.4,19.1,35.6,15.8,50.4,12.5,10.44,15.2,"1",91.7
"Belgium","Females","From 25 to 34 years",36.9,8.8,68.4,11.5,7.3,12.5,17.5,9.1,57.7,12.6,10.44,27.4,"1",88.8
"Belgium","Females","From 35 to 44 years",35.4,5.8,73.9,14.2,4.2,20.2,16.9,18.1,51.2,20.1,10.44,20.5,"1",79.8
"Belgium","Females","From 45 to 64 years",46.6,3.9,73.6,16.9,3.3,21.9,17.9,17.6,50.7,31.2,10.44,22.8,"1",70.1
"Belgium","Females","65 years or over",54.5,42,74.9,15.5,0.9,6.9,9.7,21.1,47.7,42.5,10.44,18.8,"0",50.4
"Bulgaria","Males","From 15 to 24 years",26.1,24.5,34.6,4.8,8.2,25.5,18.3,10.7,53.6,3.8,7.71,18.4,"1",96.1
"Bulgaria","Males","From 25 to 34 years",48.7,17.5,26.1,6.2,8.4,45.8,34,14,52.9,5.8,7.71,20.3,"1",92.1
"Bulgaria","Males","From 35 to 44 years",66.5,9.2,38.9,3.1,7.3,48.3,30.3,17,57.6,7.4,7.71,26.2,"1",87.5
"Bulgaria","Males","From 45 to 64 years",72.7,2.7,35.6,2.5,6.9,43.1,31.1,19.1,58.1,21.8,7.71,32.6,"0",64.2
"Bulgaria","Males","65 years or over",65.2,0.6,37.2,4.2,4.7,13,12.4,21.1,58.9,43.7,7.71,43.7,"0",24.1
"Bulgaria","Females","From 15 to 24 years",10.1,14.6,38.4,5.6,7.9,16.7,7.4,7.7,53,2.2,7.71,22.9,"1",96.3
"Bulgaria","Females","From 25 to 34 years",23.7,4.3,41.3,5.3,9.9,29.9,15.5,16.3,47.1,2.4,7.71,35.5,"1",96
"Bulgaria","Females","From 35 to 44 years",33.5,2.4,38.9,4.5,10.1,36.4,12.8,15.6,56.2,7.3,7.71,36.4,"1",86.6
"Bulgaria","Females","From 45 to 64 years",57,1.5,40.1,5.1,6.1,22.8,9.5,16.3,60.9,23.4,7.71,47,"0",62.1
