"GEO";"abrev";"F1";"F3";"label_complete";"label_avg";"label_ward"
"Austria";"Aus";-0,802993017693157;0,923696493862609;"1";"1";"1"
"Belgium";"Blg";0,164181926722279;2,19431195414679;"2";"2";"2"
"Bulgaria";"Bul";1,60779764973812;0,895204822399232;"3";"3";"3"
"Croatia";"Cro";1,86325915696359;-0,359063210395991;"4";"3";"4"
"Cyprus";"Cyp";1,84668981836399;0,327614595946817;"3";"3";"3"
"Czechia";"Cze";0,084862427025097;-0,31533852138295;"4";"4";"4"
"Denmark";"Dmk";-3,44642661249733;1,11303954706603;"5";"5";"5"
"Estonia";"Est";1,00989685974868;-1,5443321138231;"6";"6";"6"
"Finland";"Fnd";-3,13737058276334;-1,68669121145439;"7";"7";"7"
"France";"Frc";0,601843968058854;1,74392205916454;"2";"2";"2"
"Germany";"Ger";-1,97192735492134;0,421716387907158;"1";"5";"8"
"Greece";"Grc";2,27976425987583;0,64229220979398;"3";"3";"3"
"Hungary";"Hng";1,79758333709593;-1,2977259223212;"6";"6";"6"
"Iceland";"Icl";-3,99983947162793;-2,5317141222168;"7";"7";"7"
"Ireland";"Irl";-1,80201854195961;0,534606840678462;"1";"5";"8"
"Italy";"Ita";1,1700814431929;2,84960574093493;"2";"2";"2"
"Latvia";"Lat";0,97604218457598;-1,7013767478875;"6";"6";"6"
"Lithuania";"Lit";0,688514830745494;-0,983836269714929;"6";"6";"6"
"Luxembourg";"Lux";-0,544074502727974;0,827770301274783;"1";"1";"1"
"Malta";"Mlt";0,539722026652544;-1,18369276715888;"6";"6";"6"
"Netherlands";"Nth";-0,848007123621373;1,03841843148785;"1";"1";"1"
"Norway";"Nrw";-2,88307551019416;-0,0632735078099921;"1";"5";"8"
"Poland";"Pln";1,36337769763569;-1,39377032867921;"6";"6";"6"
"Portugal";"Prt";0,813496252228175;0,193654090763199;"4";"3";"4"
"Romania";"Rom";1,88863517665813;0,757847850383973;"3";"3";"3"
"Slovakia";"Slk";0,888646453171038;-0,53595744713553;"4";"6";"4"
"Slovenia";"Slv";-0,141679605531189;-0,186396857221197;"4";"4";"4"
"Spain";"Spa";1,06940631582169;0,746976953503657;"3";"3";"3"
"Sweden";"Swd";-2,69504413200778;0,910624112442388;"5";"5";"5"
"Turkey";"Tky";3,1703833025681;-2,07453289619563;"8";"8";"9"
"United Kingdom";"UK";-1,55172863129692;-0,263600468359104;"1";"5";"8"
